S_No,BillDate_and_Time,BillNo,Tbl_,Pax,KotNo,KOTDate_and_Time,Steward,Classification,MenuGroup,ItemCode,ItemName,Rate,Qty,Amount,Discount,CGS_2_5,SGS_2_5,Total,UserID,PayMode,Tips,Restaurant
1.0,2019-04-02T21:37:00,3.0,3.0,2.0,7.0,2019-04-02T20:31:00,Ganesh,Liquor,Vodka,334.0,Smirnoff Orange,140.0,2.0,280.0,0.0,,,280.0,NAGESH,,,The Estate
1.0,2019-04-02T21:37:00,3.0,3.0,2.0,7.0,2019-04-02T20:31:00,Ganesh,Liquor,Scotch/ Bourbon,276.0,Black & White,155.0,2.0,310.0,0.0,,,310.0,NAGESH,,,The Estate
1.0,2019-04-02T21:37:00,3.0,3.0,2.0,7.0,2019-04-02T20:31:00,Ganesh,Others,Soft Beverages,309.0,BOTTLED WATER,20.0,1.0,20.0,0.0,0.5,0.5,21.0,NAGESH,,,The Estate
1.0,2019-04-02T21:37:00,3.0,3.0,2.0,7.0,2019-04-02T20:31:00,Ganesh,Soft Drink,Soft Beverages,308.0,Sprite,50.0,1.0,50.0,0.0,1.25,1.25,52.5,NAGESH,,,The Estate
1.0,2019-04-02T21:37:00,3.0,3.0,2.0,7.0,2019-04-02T20:31:00,Ganesh,Food,Vegetarian Starters,422.0,Chilli Cheese Toast,175.0,1.0,175.0,0.0,4.375,4.375,183.76,NAGESH,,,The Estate
1.0,2019-04-02T21:37:00,3.0,3.0,2.0,7.0,2019-04-02T20:31:00,Ganesh,Food,Vegetarian Starters,27.0,Haryali Paneer Kabab,245.0,1.0,245.0,0.0,6.125,6.125,257.26,NAGESH,,,The Estate
1.0,2019-04-02T21:37:00,3.0,3.0,2.0,7.0,2019-04-02T20:31:00,Ganesh,Food,Vegetarian Starters,414.0,Aloo Mutter Tikki,235.0,1.0,235.0,0.0,5.875,5.875,246.76,NAGESH,,,The Estate
1.0,2019-04-02T21:37:00,3.0,3.0,2.0,7.0,2019-04-02T20:31:00,Ganesh,Liquor,Scotch/ Bourbon,276.0,Black & White,155.0,2.0,310.0,0.0,,,310.0,NAGESH,,,The Estate
1.0,2019-04-02T21:37:00,3.0,3.0,2.0,7.0,2019-04-02T20:31:00,Ganesh,Food,Bread,159.0,Neer Dosa,75.0,1.0,75.0,0.0,1.875,1.875,78.76,NAGESH,,,The Estate
1.0,2019-04-02T21:37:00,3.0,3.0,2.0,7.0,2019-04-02T20:31:00,Ganesh,Food,Bread,162.0,Akki Rotti,50.0,1.0,50.0,0.0,1.25,1.25,52.5,NAGESH,,,The Estate
1.0,2019-04-02T21:37:00,3.0,3.0,2.0,7.0,2019-04-02T20:31:00,Ganesh,Food,Indian Mains,144.0,Avare Kaalu Gojju,185.0,1.0,185.0,0.0,4.625,4.625,194.26,NAGESH,,,The Estate
1.0,2019-04-02T21:37:00,3.0,3.0,2.0,7.0,2019-04-02T20:31:00,Ganesh,Food,Rice,339.0,Half Rice,50.0,1.0,50.0,0.0,1.25,1.25,52.5,NAGESH,,,The Estate
1.0,2019-04-02T21:37:00,3.0,3.0,2.0,7.0,2019-04-02T20:31:00,Ganesh,Food,Dessert,9999.0,ALMOND CAKE,205.0,1.0,205.0,0.0,5.125,5.125,215.26,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Liquor,Scotch/ Bourbon,276.0,Black & White,155.0,2.0,310.0,0.0,,,310.0,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Food,Soups,13.0,MANCHOW SOUP VEG,100.0,1.0,100.0,0.0,2.5,2.5,105.0,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Food,Soups,13.0,MANCHOW SOUP VEG,100.0,1.0,100.0,0.0,2.5,2.5,105.0,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Food,Soups,13.0,MANCHOW SOUP VEG,100.0,1.0,100.0,0.0,2.5,2.5,105.0,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Food,Soups,13.0,MANCHOW SOUP VEG,100.0,1.0,100.0,0.0,2.5,2.5,105.0,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Food,Seafood,85.0,Beer Battered Fish Fingers,295.0,1.0,295.0,0.0,7.375,7.375,309.76,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Food,Seafood,99.0,Prawns Tawa Fry,375.0,1.0,375.0,0.0,9.375,9.375,393.76,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Food,Non Vegetarian Starters,53.0,Drums Of Heaven,255.0,1.0,255.0,0.0,6.375,6.375,267.76,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Food,Vegetarian Starters,29.0,Paneer Chilli,245.0,1.0,245.0,0.0,6.125,6.125,257.26,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Food,Vegetarian Starters,29.0,Paneer Chilli,245.0,1.0,245.0,0.0,6.125,6.125,257.26,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Food,Vegetarian Starters,23.0,Sabakki Vade,175.0,1.0,175.0,0.0,4.375,4.375,183.76,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Food,Vegetarian Starters,408.0,French Fries Plain,145.0,1.0,145.0,0.0,3.625,3.625,152.26,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Food,Vegetarian Starters,32.0,Cheesy Mushroom Melts,235.0,1.0,235.0,0.0,5.875,5.875,246.76,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Others,Soft Beverages,309.0,BOTTLED WATER,20.0,1.0,20.0,0.0,0.5,0.5,21.0,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Others,Soft Beverages,309.0,BOTTLED WATER,20.0,1.0,20.0,0.0,0.5,0.5,21.0,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Liquor,Scotch/ Bourbon,276.0,Black & White,155.0,2.0,310.0,0.0,,,310.0,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Food,Bread,159.0,Neer Dosa,75.0,1.0,75.0,0.0,1.875,1.875,78.76,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Food,Bread,159.0,Neer Dosa,75.0,1.0,75.0,0.0,1.875,1.875,78.76,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Food,Bread,159.0,Neer Dosa,75.0,1.0,75.0,0.0,1.875,1.875,78.76,NAGESH,,,The Estate
2.0,2019-04-02T21:41:00,4.0,10.0,8.0,6.0,2019-04-02T20:21:00,Mahendra,Food,Indian Mains,151.0,Kaima Avare Kaalu Gojju,345.0,1.0,345.0,0.0,8.625,8.625,362.26,NAGESH,,,The Estate
